id,primary_start,primary_stop,secondary_start,secondary_stop,misalign_lower,misalign_mean,misalign_upper,align_start,var_start,align_stop,var_stop,misalign_start,mvar_start,misalign_stop,mvar_stop
seq_start,,,,,,,,,,,,,,,
linker_1,,,,,9,9,9,2.84714,4.80542,9.50991,4.70526,97.1529,0,90.4901,0
barcode_1,linker_1|stop+1,linker_1|stop+24,linker_1|stop+1|left_terminal_linked,linker_1|stop+24|left_terminal_linked,,,,,,,,,,,
linker_2,,,,,2,2,2,14.2855,5.12415,15.6181,5.3084,85.7145,0,84.3819,0
read,linker_2|stop+1,linker_3|start-1,barcode_1|stop+1|left_truncated,barcode_2|start-1|right_truncated,,,,,,,,,,,
linker_3,,,,,2,2,2,79.4402,27.0219,80.7786,27.1111,20.5598,0,19.2214,0
barcode_2,linker_4|start-24,linker_4|start-1,linker_4|start-24|right_terminal_linked,linker_4|start-1|right_terminal_linked,,,,,,,,,,,
linker_4,,,,,,,,,,,,,,,
seq_stop,,,,,,,,,,,,,,,
rc_seq_start,,,,,,,,,,,,,,,
rc_linker_4,,,,,8,7,8,2.2624,2.63662,8.01569,3.64798,97.7376,0,91.9843,0
rc_barcode_2,rc_linker_4|stop+1,rc_linker_4|stop+24,rc_linker_4|stop+1|left_terminal_linked,rc_linker_4|stop+24|left_terminal_linked,,,,,,,,,,,
rc_linker_3,,,,,2,2,2,12.805,4.4516,14.1469,4.87799,87.195,0,85.8531,0
rc_read,rc_linker_3|stop+1,rc_linker_2|start-1,rc_barcode_2|stop+1|left_truncated,rc_barcode_1|start-1|right_truncated,,,,,,,,,,,
rc_linker_2,,,,,2,2,2,89.3656,8.01022,90.658,7.95722,10.6344,0,9.34199,0
rc_barcode_1,rc_linker_1|start-24,rc_linker_1|start-1,rc_linker_1|start-24|right_terminal_linked,rc_linker_1|start-1|right_terminal_linked,,,,,,,,,,,
rc_linker_1,,,,,,,,,,,,,,,
rc_seq_stop,,,,,,,,,,,,,,,
